date/time,comment_id,fullname,text,likes,replyComment count
2020-03-19T20:35:59Z,UgyRN7oDAzBd-5QWIEl4AaABAg,Shaye Massey,LANY makes me feel understood and like i have purpose not gonna lie.,17,0
2021-02-24T02:19:41Z,Ugzeug8MovBszoEGURV4AaABAg,ALEX NICKER,this song is for my crush. love her)))),1,0
2019-04-28T01:25:21Z,UgyeNq6GVSHdTX-ZbhJ4AaABAg,NM Explorer,LANY can literally break your heart and burst into tears...,46,0
2019-04-29T01:30:37Z,UgzMIHgx03SW1JnFdYt4AaABAg,Ayu Azkiyah Azizah,"Thankyou for launching this album, all the song is GOOD 😭 the way you sing, your voice, your expression i can feel the broken heart 😢 Love you LANY ❤",9,0
2018-09-12T04:09:11Z,UgzIXbTjE37_yZCQSFl4AaABAg,Aaron Santos,master of transforming pain into good music,269,2
2021-05-17T13:48:24Z,Ugz3yMmJVBXIRakxhYN4AaABAg,Sofia Penedilla,'is this the end?' like damn the lyrics hit me badly,0,0
2021-06-05T14:49:26Z,UgzO087NpTUBBHN9DGZ4AaABAg,Caleb Joshua,1:26,0,0
2021-04-27T13:28:44Z,Ugw3MUbPDL4TUtugStp4AaABAg,AprilynMae Antonino,Every LANY's songs is a great masterpiece,0,0
2019-04-30T15:57:33Z,Ugz12JQkQVZ0jCr9X0t4AaABAg,pandakoo,one of the best songs i heard 💕💕,3,0
2018-09-12T04:02:42Z,Ugxots6Zm6559D-U2aJ4AaABAg,Mario II Carag,so much love from the philippines!!!,725,10
2019-03-24T14:57:09Z,Ugw8VGs0R2IcnEkglV14AaABAg,wubba lubba dub dub,"this makes me want to be in a relationship then let the guy break my heart so i can relate to this, bet this song would be literally the best if you're listening with feelings",12,0
2018-11-02T14:50:51Z,Ugzo62EiG_r47NyfBSV4AaABAg,darafa,This song deserves a happy ending,3,0
2021-03-03T12:45:33Z,UgweMOBZJ-LPFV1-2Rl4AaABAg,B*tch I'm not even real,Garnet Academy feels~,1,0
2020-02-26T10:39:58Z,UgwX30HtejEPlQAConJ4AaABAg,Ian Jay,"My ex-girlfriend introduce me to the songs of lany, now all the songs of lany that I listen Is to forget her :(",13,0
2018-09-12T04:15:16Z,UgypjRXGtbHnTc24M7l4AaABAg,rllczro,"how can I get ""thru these tears"" if you said to me ""i don't wanna love you anymore."" Still, I'm hoping for you to come back through ""thick and thin"".",867,6
2019-07-19T15:21:31Z,UgwwnpoSe1KZks6cI9F4AaABAg,WanZhao Chu,My favorite song in all Lany songs,2,0
2021-06-02T17:00:31Z,UgwXLS0uR29p9jG2isZ4AaABAg,shang.,0:25,0,0
2021-05-19T15:33:24Z,UgzKgbSDzW9BK7elqnx4AaABAg,Rthea Margarette,Damn I really relate with the lyrics so fuckin much,0,0
2021-04-27T16:42:58Z,UgypZWR7MJtUSVOMi8N4AaABAg,Jian Sy,"we're both like LANY, we listened to this band at random hours at night when we're together—but yea, this is the end, thought he'll be there through thick and thin.",0,0
2018-09-12T04:21:39Z,UgwtIcfAyQxQzeiqyBJ4AaABAg,Vincent Echon,"Damn, Lany never disappoints. They need more arena concerts, so underrated!!!",426,3
2020-08-14T07:09:44Z,UgwH9Lra2z8I11mdvCN4AaABAg,Alicia Seccin,Through everything i'm standing strong,0,0
2020-04-27T09:03:01Z,UgyczgUDFccAVn_fHQ14AaABAg,Jeremiah Bautista,"i remembered me and my ex partner fought over the argument we usually had issue about. so he leave and went to his house,thought we were just on cool off. but after almost 6months it reached my knowledge that just weeks after our fight we had been in a relationship with his collegue he used to tell me not to be jealous of. it angers me so much esp when i read and saw everything that im longing him to do for me,the sweet gestures etc,he did everything to his new gf. we have 2children and weve been together for almost 9 years. lanys songs helped me cope up. helped me heal and helped me live.",18,0
2018-10-06T03:13:24Z,UgyHYT49UOq1NSiP8v94AaABAg,juankookie patootie,*you could really feel the pain in his voice* 💔,1,0
2021-01-15T14:53:25Z,UgwauiABCaPOdx5UaOd4AaABAg,cm ian,I suggest this to my bf and he said “this is you when you’re not in the mood”,1,0
2018-09-12T04:12:37Z,UgwCoXY3ELfLB2wtFOp4AaABAg,Camille Anne,"Malibu Nights will be a hit for sure. Damn, releasing your songs one by one is killing me. Please drop the whole album already",471,3
2019-05-02T00:44:31Z,UgxOTZIYS86MybJf4Ol4AaABAg,Harry Potter,Im single but I feel like heartbroken 😂😂,5,0
2019-03-06T06:01:08Z,UgxxBVNg2qCHYiZLHMx4AaABAg,helen saen,i love all his songs..speak straight from the heart.,0,0
2020-08-17T15:06:48Z,UgzEugkLvjbMU87ejvd4AaABAg,Kate Siochi,really thought you'd be here thru thick and thin,1,0
2019-12-30T00:59:33Z,UgynwMQnj9FMBb8lBSB4AaABAg,Ti Sheveze,The lyrics of this song hits me hard 😔 lany ❤️,0,0
2018-09-12T05:04:18Z,UgzEm7nYKsvLFPHiu714AaABAg,serotonin girl,Nagmahal. Nasaktan. Nag drop ng album.,276,4
2021-02-01T06:46:07Z,Ugz_PdmMc_EdYnu8YzV4AaABAg,Kanemoto Dakhyung,i will always remember the person who recommended me lany's song,8,0
2020-12-28T02:32:54Z,Ugxk2Gmod_lmZOcw46d4AaABAg,Puyat Tv,Lany Ff. JUICEWRLD my dream Collaboration 🥺❤️,0,0
2020-05-30T08:27:48Z,UgwMIwduETHuIi3Y11R4AaABAg,PRIYA DAS,Nice😍😍😍,0,0
2018-09-22T11:21:39Z,Ugy0VbMs-AHpq5DFa6N4AaABAg,Sarah Patata,CAN'T STOP LISTENING TO THIS MASTERPIECE. AAAAAAHHHHHH! HELP!,0,0
2018-09-12T07:36:16Z,Ugx9oysmL6vbDjW5ID94AaABAg,Purple Wolf,"My dream concert would be LANY opening for The 1975. I know they have rather different sounds now, judging by The 1975's latest album singles... but I just feel like it would be such a vibe, such a beautiful night to remember. 💖",221,11
2019-01-15T09:44:03Z,UgwuAG4Ep0m-U0AQ0cB4AaABAg,Ruby Ann Leal,said you'd be there for me thru everything. aww,0,0
2021-02-13T07:33:31Z,Ugx6JLlBxcfAeTbiyBx4AaABAg,Send answers Sa modules,"Deym, i always remember Kairon everytime i hear this",0,0
2020-03-11T12:56:52Z,UgxvME-ydegNgBz09st4AaABAg,Apple Harvey,I felt the pain in this sonf g 😢😭💔,0,0
2018-12-23T12:35:51Z,UgygTwIOvl0Lu9PmErt4AaABAg,Isaura Van Nieuwenhuyse,"I love the way he says ""thru"" 😍",0,0
2018-09-12T04:07:40Z,Ugwv04yGyqducO1T0LR4AaABAg,ALEX,Is it October 5th yet? Malibu Nights needs to drop ASAP!,177,3
2019-09-07T04:42:56Z,Ugwz0B3gVXT_otYV2694AaABAg,San Real,This is one of my favorite song... It makes me feel comfortable 😌,0,0
2018-09-29T04:13:31Z,Ugx--9ulwdvidsMd61t4AaABAg,John Carlo Sayson,PUTANGINAAAAAAA! 😭💔,50,1
2018-09-24T07:35:32Z,UgwLnEg_sZvtlUTCoGp4AaABAg,Anime Hooks,Damn this song!! Bring back manny memories of my ex,0,0
2021-01-02T12:04:16Z,UgzC25MHuA4zgj5qdoR4AaABAg,Maureen Indab,I can 100% relate to this one :')),0,0
2018-09-12T04:07:25Z,UgwEb0fjT2so-wlrEV14AaABAg,Carmela Delacruz [Zulueta],Imagine this song singing right infront of you 💖😍 can't blame every song they made were heartfelt. I'm still waiting for LANY LIVE IN MANILA again. We love you LANY from the Philippines,140,0
2019-01-19T15:29:06Z,UgydLfchW6r4bNNRuRd4AaABAg,Isecious Apols,THIS IS ONE OF MY FAVORITE MUSIC SO FAR❤️,0,0
2021-03-03T12:46:31Z,UgxESBmW8U8AsQFk_dp4AaABAg,B*tch I'm not even real,Every month I always listen to this..,0,0
2020-12-29T12:02:48Z,UgyoJ3JlgUj4rpjRxyF4AaABAg,Niña Apolonio,That you’d be there through thick and thin 😔,1,0
2018-11-20T06:00:21Z,UgyJffRhHe1DK-KeBjJ4AaABAg,Hazel Sario,Why am I even bopping into this song when the lyrics is so sad!!!,0,0
2018-09-12T05:28:51Z,Ugxj6us3eCsV9TMAhGh4AaABAg,INDIG0TEARS,THIS SOUNDS LIKE A CLASSIC LANY SONG AND IM NOT COMPLAINING,62,1
2018-09-23T20:01:53Z,UgyC6X35byxS3KgrCqF4AaABAg,Licca Andrea Macalipsay,Lany always have the appropriate song on what I feel and in a perfect timing 😢,0,0
2018-10-07T04:01:41Z,Ugyfk9rslbRVXlsxesx4AaABAg,Mariella Vasquez,😭😭😭 I'm totally addicted with this band❤❤❤,0,0
2020-02-05T12:13:27Z,UgzazxfnT42W_rWnuZN4AaABAg,Mansi Manik,I'm here bcoz of jhope's spotify playlist...He has such a good taste in songs,4,0
2019-04-19T15:38:33Z,UgwU-R-L_RH1Md0jb3V4AaABAg,Rod Peligrino,I feel nostalgic everytime i listen any of his musi,20,0
2018-09-12T05:42:31Z,UgzgfcIMF15-srDDuk54AaABAg,memoww memoww,I hope Paul also write song for his new girlfriend.,77,6
2021-02-03T08:46:08Z,UgxDC3sblIJiZU0N0L14AaABAg,arri,"'said you'd be there for me thru everything '

damn. so.. where are u now? lol.",2,0
2020-04-06T13:13:22Z,UgxmnZeKLheUFqy6I314AaABAg,Moo Coffee Please,"It happened so sudden and fast, and just like that we're no longer talking. I was so close to propose her as my wife too, but she said ""there's nothing to talk about anymore"". All I can do now is learn  to accept it with a heavy heart and move on.",9,1
2019-04-16T09:38:29Z,UgwPWFWcqGtfL11wZep4AaABAg,estanley tecson,The song are so beautiful,1,0
2018-09-22T17:34:31Z,Ugz_g4hXFbrkc2Jamrd4AaABAg,Karylle Lacson,2:41 the falsetto💛,0,0
