date/time,comment_id,fullname,text,likes,replyComment count
2021-06-06T08:19:16Z,UgwvyZfpZrtLI66oo9l4AaABAg,Vishal Singh Singh,Bhi  sira,1,0
2021-06-05T05:20:57Z,UgyvFKWpHvx7jm7o1bh4AaABAg,Sallu Khan,Right ji,0,0
2021-06-02T17:00:17Z,UgyUr_C3gd9SwBwzJYB4AaABAg,Preetchuhan Preetchuhan,Attttttttttttt aa sidhu veer g,0,0
2021-05-24T06:31:26Z,Ugw0-yFK7L5AThYX_d94AaABAg,Mpreet virk,"""Sending this selfie to NASA, because you're a star.""",320,19
2021-06-05T19:47:49Z,Ugyt5hU1tjaozUxBXFx4AaABAg,aarshdeep313,"Confidant aa bai
Eh lyrics likhna te confidently gaa k share krna publicly is absolutely amazing 🤩 
Mai te aap ni prvaah mardi. 
Lokka da kaam aa criticize kri jan ge
Na ap kuj krde na duje nu krda dekh k raji. 
Example- kaamchor banda hmesha koi na koi burayi zarur labh lenda mere kaam vich kyu ki ohna nu hor koi kaam nhi hunda 🤣🤣",0,1
2021-06-05T05:04:47Z,UgwgtNz_7NYwzzZr9_l4AaABAg,Durgesh Rawat,Siddhu bhai Samose ka fan hu,0,0
2021-06-03T14:48:09Z,Ugxx6VXBA2fZqrZDR0B4AaABAg,Dyno Gaming,Only Sidhu Moose Wala😎😎🔥🔥🔥🔥🔥🔥🔥🔥,0,0
2021-06-02T13:53:15Z,Ugx9mcvSS8d0oLw1hWd4AaABAg,ashudeep singh,Song is very good,0,0
2021-05-16T18:01:58Z,Ugxlh0EPnXqkWK2tBO14AaABAg,Rishi Ranga,Soon on billboard 💿 🔥🌎,64,9
2021-06-03T03:52:22Z,Ugyvbm8qQ-CXQYRdaeh4AaABAg,Bintu raj Raj,I love you,1,0
2021-06-03T11:08:14Z,UgzqdCURm9Lp1booC_N4AaABAg,Ayaan Khan,#6 trending Pakistan  today 👍👍👍,0,0
2021-06-02T10:50:16Z,UgxxcZeBb4x8uAHnaQl4AaABAg,mayank chaudhary,kacha maas padke jawan hu mai❤👊,0,1
2021-06-05T04:22:05Z,UgxYooSDht7DX-6xnrJ4AaABAg,Mandeep Kaur,Nice Sony,0,0
2021-05-15T09:32:51Z,UgxfOMNRNESpKHp8Jlh4AaABAg,Harjot Chahal,This album break's records all indian music industry 🔥🔥🔥,118,12
2021-06-03T14:05:43Z,UgxHkFXUooo9OE_B_eZ4AaABAg,Karan Singh,Super,0,0
2021-06-03T14:04:24Z,UgzzsMlFWGJNvAZaWLx4AaABAg,Karan Singh,Super,0,0
2021-06-03T14:05:50Z,UgyrG_QVTMMEBf73CAl4AaABAg,Karan Singh,Super,0,0
2021-06-03T14:05:47Z,UgxbnJJFulnbS-OlU3R4AaABAg,Karan Singh,Super,0,0
2021-05-15T13:57:02Z,UgxLTP4XVT9TtZsHjrt4AaABAg,Deep here,R.i.p. in advance of the haters 🔥🔥🔥,84,8
2021-06-03T14:05:39Z,Ugwxc8C3Hagq-rH_6B54AaABAg,Karan Singh,Super,0,0
2021-06-03T14:05:33Z,UgxIdZffMVGemzlMEsN4AaABAg,Karan Singh,Super,0,0
2021-06-03T14:04:34Z,UgysYLQpFNBj-40vHGZ4AaABAg,Karan Singh,Super,0,0
2021-06-03T14:04:31Z,Ugxvu2KYJf_-QLqcgdB4AaABAg,Karan Singh,Super,0,0
2021-05-20T11:34:58Z,UgxA39FAnF6gxMkjmat4AaABAg,Ajaypal singh,"Title di Punjabi translation 
ਕੁਤੀਏ ਮੈ  ਵਾਪਸ ਆ ਗਿਆ 😂😂
My dad didn't stop laughing 😂😂",77,12
2021-06-03T14:04:27Z,UgyjQfMkiOz2jZdk1-J4AaABAg,Karan Singh,Super,0,0
2021-06-03T14:04:21Z,Ugzo1I3akBndETh_ON54AaABAg,Karan Singh,Super,0,0
2021-06-03T16:07:59Z,UgwR6xx8A55ttZamXip4AaABAg,Akash Kumar,Super,0,0
2021-06-06T08:42:19Z,UgzUgancqgU6WEzIJHl4AaABAg,Raj music,Attttttttta,0,0
2021-05-16T18:20:09Z,UgxFwxYdAC8nOTAmzh14AaABAg,Bollywood Love Songs,🔥🔥🔥,44,2
2021-06-02T15:25:30Z,UgzOzwv9wfAhLzZxm-l4AaABAg,A K,Best track so far. The whole thing is just genius!!,2,0
2021-06-05T02:49:25Z,UgyTw24SBpOb1PYQC4V4AaABAg,Lakhan Chahar,Gajab,0,0
2021-06-03T16:07:41Z,UgxljV0cav7bh2wn1NZ4AaABAg,Akash Kumar,Nice,0,0
2021-06-03T16:17:51Z,UgyAgo9PCmG5rDVWo7h4AaABAg,Harman Harry,Nice,1,0
2021-05-17T09:23:32Z,UgwBtxT3ZNRVbgX_sH54AaABAg,Mannu Dhaliwal,Moosetape season start🔥🔥🔥,174,8
2021-06-02T15:33:02Z,UgwXJlFoB_L5hZy8ws14AaABAg,Tushar Rana Yamunanagar,Gjjjb bhai,1,0
2021-06-02T18:21:22Z,UgyLb21vWpzIetpnQ4R4AaABAg,Shahzad Sher Matto,Level yar,0,0
2021-06-06T03:18:13Z,UgxPznaWBwGeWfWplO14AaABAg,Awais Mehar,Specially from Lahore,0,0
2021-06-06T05:57:55Z,UgxRTZRLHndLO22Oprp4AaABAg,Rehan Basit,Love from Pakistan,0,0
2021-05-15T13:50:43Z,UgwD4I4d9vUW0-UCG9h4AaABAg,Desi Star,Love u from HARYANA ❤️,102,8
2021-06-03T08:46:24Z,UgzwTIyQ691NPNBJAJl4AaABAg,M7 Records,#6 in pakistan ❤️,1,0
2021-06-02T04:16:19Z,UgzdeyyFhirBhlPa0Gt4AaABAg,Zain Mehar,"Moose Tape : Released 
Karan Aujla Fans: Get hell out of here its so 🔥",1,1
2021-06-02T08:20:29Z,UgwxZdK5MJ8JvqJdkHd4AaABAg,shiven gamerz,Baap baap hota haii,0,0
2021-06-02T18:29:10Z,Ugy31qMhru1JjzoI4394AaABAg,Pagal Bhalu,Love u,0,0
2021-05-16T10:06:05Z,Ugw0FyoXlvA7KQeAyUZ4AaABAg,Satyajit Roy,This song is so powerful that I Caught The Khend Vibes from Bengal,84,3
2021-06-03T04:43:05Z,Ugx4fT02IE3r9R_EDEx4AaABAg,Manav Malhotra,Copied text is stored in the clipboard for 1 hour.,2,1
2021-06-03T07:38:25Z,Ugzgkz0UGNfsBdpPd8V4AaABAg,Akash Bal,Dabu maan gya,2,0
2021-06-02T11:52:51Z,UgxHLoMI49N8mIjbd8p4AaABAg,Lakha Singh,Nice,0,0
